City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Los Angeles,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",4.12,3.99,4.26,3.99–4.26,1.48,1.41,1.56,1.41–1.56,7
Seattle,WA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",3.53,3.34,3.73,3.34–3.73,1.07,0.99,1.15,0.99–1.15,8
Sacramento,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",3.33,3.03,3.62,3.03–3.62,1.07,0.92,1.22,0.92–1.22,9
Philadelphia,PA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",3.23,2.98,3.47,2.98–3.47,0.33,0.28,0.37,0.28–0.37,10
San Diego,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",3.22,2.98,3.45,2.98–3.45,1.06,0.95,1.16,0.95–1.16,11
Durham,NC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",3.12,2.63,3.61,2.63–3.61,0.34,0.27,0.42,0.27–0.42,12
Jersey City,NJ,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.95,2.53,3.37,2.53–3.37,0.33,0.17,0.48,0.17–0.48,13
Washington,DC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.85,2.61,3.1,2.61–3.1,0.8,0.68,0.92,0.68–0.92,14
Spokane,WA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.83,2.22,3.43,2.22–3.43,0.2,0.15,0.25,0.15–0.25,15
Austin,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.8,2.71,2.89,2.71–2.89,0.84,0.78,0.9,0.78–0.9,16
Anaheim,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.61,2.14,3.09,2.14–3.09,0.78,0.48,1.08,0.48–1.08,17
Denver,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.61,2.49,2.72,2.49–2.72,0.68,0.61,0.74,0.61–0.74,18
Houston,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.59,2.5,2.68,2.5–2.68,0.63,0.58,0.67,0.58–0.67,19
Louisville,KY,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.55,2.22,2.88,2.22–2.88,0.66,0.52,0.81,0.52–0.81,20
Boulder,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.43,2.03,2.83,2.03–2.83,0.89,0.49,1.29,0.49–1.29,21
Cincinnati,OH,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.4,1.81,2.99,1.81–2.99,0.67,0.38,0.95,0.38–0.95,22
Portland,OR,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.28,2.17,2.4,2.17–2.4,0.87,0.8,0.93,0.8–0.93,23
Jacksonville,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.23,2.07,2.38,2.07–2.38,0.52,0.46,0.57,0.46–0.57,24
Tampa,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.21,1.66,2.76,1.66–2.76,0.56,0.38,0.74,0.38–0.74,25
Nashville,TN,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.13,1.88,2.38,1.88–2.38,0.51,0.36,0.66,0.36–0.66,26
Orlando,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.1,1.92,2.28,1.92–2.28,0.48,0.4,0.57,0.4–0.57,27
Fort Worth,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.1,2,2.2,2–2.2,0.35,0.29,0.4,0.29–0.4,28
Sioux Falls,SD,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.06,1.75,2.37,1.75–2.37,0.29,0.22,0.35,0.22–0.35,29
Kansas City,MO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.06,1.81,2.31,1.81–2.31,0.13,0.09,0.18,0.09–0.18,30
Phoenix,AZ,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.04,1.89,2.2,1.89–2.2,0.45,0.38,0.51,0.38–0.51,31
Cleveland,OH,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2,1.66,2.33,1.66–2.33,0.56,0.41,0.7,0.41–0.7,32
Colorado Springs,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.99,1.73,2.25,1.73–2.25,0.42,0.32,0.51,0.32–0.51,33
Columbus,OH,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.93,1.8,2.07,1.8–2.07,0.34,0.31,0.37,0.31–0.37,34
Atlanta,GA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.9,1.72,2.08,1.72–2.08,0.33,0.27,0.4,0.27–0.4,35
St. Paul,MN,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.88,1.27,2.49,1.27–2.49,0.19,0.11,0.26,0.11–0.26,36
Boise,ID,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.86,1.63,2.09,1.63–2.09,0.48,0.38,0.59,0.38–0.59,37
Reno,NV,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.72,1.57,1.86,1.57–1.86,0.24,0.17,0.31,0.17–0.31,38
Grand Rapids,MI,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.69,1.54,1.84,1.54–1.84,0.35,0.26,0.44,0.26–0.44,39
Indianapolis,IN,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.63,1.46,1.81,1.46–1.81,0.33,0.25,0.4,0.25–0.4,40
Raleigh,NC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.59,1.42,1.76,1.42–1.76,0.27,0.21,0.34,0.21–0.34,41
Miami,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",4.97,4.36,5.58,4.36–5.58,1.86,1.35,2.36,1.35–2.36,1
New York,NY,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",4.97,4.8,5.13,4.8–5.13,1.34,1.25,1.43,1.25–1.43,2
San Francisco,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",4.77,4.39,5.15,4.39–5.15,1.28,1.09,1.46,1.09–1.46,3
Boston,MA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",4.39,3.96,4.82,3.96–4.82,1.95,1.64,2.27,1.64–2.27,4
Los Angeles,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",4.27,4.12,4.42,4.12–4.42,1.53,1.44,1.61,1.44–1.61,5
Oakland,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",4.13,3.63,4.62,3.63–4.62,1.02,0.78,1.26,0.78–1.26,6
Honolulu,HI,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",3.57,3.11,4.03,3.11–4.03,1.66,1.4,1.92,1.4–1.92,7
Seattle,WA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",3.49,3.33,3.65,3.33–3.65,1.08,1.01,1.15,1.01–1.15,8
Philadelphia,PA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",3.31,3.07,3.56,3.07–3.56,0.32,0.28,0.36,0.28–0.36,9
Sacramento,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",3.13,2.79,3.48,2.79–3.48,0.92,0.75,1.09,0.75–1.09,10
Jersey City,NJ,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.99,2.57,3.4,2.57–3.4,0.34,0.21,0.48,0.21–0.48,11
San Diego,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.91,2.72,3.1,2.72–3.1,0.86,0.79,0.94,0.79–0.94,12
Durham,NC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.87,2.38,3.36,2.38–3.36,0.33,0.25,0.41,0.25–0.41,13
Washington,DC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.85,2.64,3.06,2.64–3.06,0.8,0.7,0.89,0.7–0.89,14
Austin,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.82,2.72,2.92,2.72–2.92,0.85,0.78,0.91,0.78–0.91,15
Spokane,WA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.78,2.18,3.37,2.18–3.37,0.17,0.12,0.22,0.12–0.22,16
Houston,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.74,2.66,2.82,2.66–2.82,0.69,0.64,0.74,0.64–0.74,17
Denver,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.69,2.56,2.81,2.56–2.81,0.64,0.58,0.71,0.58–0.71,18
Boulder,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.47,2.03,2.9,2.03–2.9,0.64,0.36,0.91,0.36–0.91,19
Louisville,KY,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.41,2.06,2.76,2.06–2.76,0.6,0.45,0.74,0.45–0.74,20
Portland,OR,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.4,2.29,2.51,2.29–2.51,0.88,0.82,0.94,0.82–0.94,21
Cincinnati,OH,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.4,1.68,3.11,1.68–3.11,0.69,0.35,1.04,0.35–1.04,22
Nashville,TN,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.38,2.04,2.71,2.04–2.71,0.56,0.36,0.77,0.36–0.77,23
Phoenix,AZ,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.18,1.99,2.36,1.99–2.36,0.52,0.43,0.6,0.43–0.6,24
Jacksonville,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.14,1.99,2.29,1.99–2.29,0.46,0.4,0.52,0.4–0.52,25
Orlando,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.12,1.91,2.34,1.91–2.34,0.48,0.39,0.58,0.39–0.58,26
Tampa,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.12,1.57,2.67,1.57–2.67,0.53,0.36,0.71,0.36–0.71,27
Anaheim,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.12,1.67,2.57,1.67–2.57,0.62,0.34,0.9,0.34–0.9,28
Cleveland,OH,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.07,1.71,2.43,1.71–2.43,0.55,0.4,0.7,0.4–0.7,29
Sioux Falls,SD,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.04,1.76,2.32,1.76–2.32,0.21,0.15,0.27,0.15–0.27,30
Kansas City,MO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",2.03,1.74,2.31,1.74–2.31,0.16,0.09,0.23,0.09–0.23,31
Fort Worth,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",1.98,1.88,2.08,1.88–2.08,0.3,0.25,0.35,0.25–0.35,32
Colorado Springs,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",1.92,1.63,2.21,1.63–2.21,0.37,0.28,0.47,0.28–0.47,33
Atlanta,GA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",1.91,1.74,2.09,1.74–2.09,0.35,0.28,0.41,0.28–0.41,34
Boise,ID,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",1.87,1.59,2.14,1.59–2.14,0.48,0.35,0.61,0.35–0.61,35
Columbus,OH,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",1.82,1.7,1.94,1.7–1.94,0.33,0.3,0.36,0.3–0.36,36
Indianapolis,IN,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",1.82,1.58,2.05,1.58–2.05,0.43,0.32,0.55,0.32–0.55,37
St. Paul,MN,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",1.8,1.23,2.36,1.23–2.36,0.22,0.13,0.31,0.13–0.31,38
Grand Rapids,MI,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",1.75,1.53,1.98,1.53–1.98,0.3,0.18,0.43,0.18–0.43,39
Reno,NV,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",1.71,1.54,1.87,1.54–1.87,0.19,0.13,0.24,0.13–0.24,40
Raleigh,NC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$80,000",1.67,1.48,1.86,1.48–1.86,0.28,0.21,0.34,0.21–0.34,41
Miami,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",5.6,4.72,6.48,4.72–6.48,1.93,1.27,2.58,1.27–2.58,1
New York,NY,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",5.12,4.93,5.3,4.93–5.3,1.35,1.26,1.45,1.26–1.45,2
San Francisco,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",4.85,4.46,5.24,4.46–5.24,1.3,1.11,1.49,1.11–1.49,3
Boston,MA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",4.44,3.94,4.95,3.94–4.95,2.01,1.64,2.38,1.64–2.38,4
Los Angeles,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",4.4,4.21,4.6,4.21–4.6,1.56,1.45,1.67,1.45–1.67,5
Oakland,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",3.96,3.32,4.6,3.32–4.6,0.93,0.64,1.21,0.64–1.21,6
Seattle,WA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",3.46,3.26,3.65,3.26–3.65,1.09,1.01,1.18,1.01–1.18,7
Philadelphia,PA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",3.39,3.12,3.66,3.12–3.66,0.31,0.27,0.35,0.27–0.35,8
Jersey City,NJ,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",3.02,2.51,3.53,2.51–3.53,0.36,0.21,0.5,0.21–0.5,9
Sacramento,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.98,2.56,3.39,2.56–3.39,0.81,0.62,1.01,0.62–1.01,10
Honolulu,HI,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.98,2.47,3.48,2.47–3.48,1.56,1.28,1.84,1.28–1.84,11
Houston,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.88,2.78,2.97,2.78–2.97,0.75,0.69,0.81,0.69–0.81,12
Washington,DC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.85,2.62,3.07,2.62–3.07,0.79,0.69,0.89,0.69–0.89,13
Austin,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.83,2.72,2.95,2.72–2.95,0.85,0.78,0.92,0.78–0.92,14
Denver,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.75,2.58,2.92,2.58–2.92,0.62,0.53,0.71,0.53–0.71,15
Spokane,WA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.74,1.97,3.5,1.97–3.5,0.14,0.09,0.2,0.09–0.2,16
San Diego,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.67,2.46,2.88,2.46–2.88,0.73,0.65,0.81,0.65–0.81,17
Durham,NC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.67,2.16,3.18,2.16–3.18,0.33,0.23,0.42,0.23–0.42,18
Nashville,TN,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.62,2.15,3.08,2.15–3.08,0.62,0.34,0.89,0.34–0.89,19
Portland,OR,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.5,2.36,2.64,2.36–2.64,0.9,0.82,0.97,0.82–0.97,20
Boulder,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.5,1.97,3.02,1.97–3.02,0.48,0.27,0.69,0.27–0.69,21
Phoenix,AZ,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.3,2.07,2.53,2.07–2.53,0.59,0.47,0.7,0.47–0.7,22
Louisville,KY,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.29,1.92,2.66,1.92–2.66,0.54,0.4,0.68,0.4–0.68,23
Orlando,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.15,1.89,2.4,1.89–2.4,0.48,0.37,0.59,0.37–0.59,24
Cleveland,OH,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.13,1.74,2.53,1.74–2.53,0.54,0.38,0.7,0.38–0.7,25
Jacksonville,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.07,1.89,2.25,1.89–2.25,0.42,0.34,0.49,0.34–0.49,26
Tampa,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.05,1.46,2.63,1.46–2.63,0.51,0.32,0.7,0.32–0.7,27
Sioux Falls,SD,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2.03,1.69,2.36,1.69–2.36,0.16,0.1,0.22,0.1–0.22,28
Kansas City,MO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",2,1.67,2.33,1.67–2.33,0.19,0.09,0.28,0.09–0.28,29
Indianapolis,IN,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",1.99,1.67,2.31,1.67–2.31,0.56,0.38,0.73,0.38–0.73,30
Atlanta,GA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",1.93,1.74,2.11,1.74–2.11,0.36,0.29,0.43,0.29–0.43,31
Fort Worth,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",1.88,1.77,1.98,1.77–1.98,0.26,0.21,0.31,0.21–0.31,32
Boise,ID,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",1.87,1.55,2.2,1.55–2.2,0.48,0.31,0.64,0.31–0.64,33
Colorado Springs,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",1.86,1.54,2.18,1.54–2.18,0.34,0.24,0.43,0.24–0.43,34
Grand Rapids,MI,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",1.81,1.48,2.14,1.48–2.14,0.27,0.11,0.43,0.11–0.43,35
Raleigh,NC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",1.74,1.52,1.97,1.52–1.97,0.28,0.2,0.35,0.2–0.35,36
St. Paul,MN,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",1.73,1.07,2.4,1.07–2.4,0.26,0.14,0.39,0.14–0.39,37
Columbus,OH,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",1.73,1.6,1.85,1.6–1.85,0.31,0.28,0.35,0.28–0.35,38
Reno,NV,Multifamily,"50 units, 700 sq. ft. each",50,700,"Dense city neighborhood (10,000/sq. mi.)","$120,000",1.69,1.5,1.89,1.5–1.89,0.15,0.09,0.21,0.09–0.21,39
New York,NY,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",4.75,4.63,4.88,4.63–4.88,1.28,1.21,1.34,1.21–1.34,1
Miami,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",4.68,4.15,5.21,4.15–5.21,1.87,1.38,2.35,1.38–2.35,2
Boston,MA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",4.6,4.19,5.01,4.19–5.01,2.06,1.76,2.35,1.76–2.35,3
San Francisco,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",4.52,4.15,4.89,4.15–4.89,1.29,1.1,1.47,1.1–1.47,4
Honolulu,HI,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",4.23,3.54,4.92,3.54–4.92,1.91,1.54,2.27,1.54–2.27,5
Los Angeles,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",4.19,4.06,4.32,4.06–4.32,1.42,1.34,1.49,1.34–1.49,6
Oakland,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",3.79,3.25,4.33,3.25–4.33,0.95,0.76,1.14,0.76–1.14,7
Seattle,WA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",3.48,3.29,3.66,3.29–3.66,1.07,1,1.15,1–1.15,8
San Diego,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",3.31,3.06,3.57,3.06–3.57,1.15,1.03,1.28,1.03–1.28,9
Sacramento,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",3.28,2.99,3.57,2.99–3.57,1.04,0.89,1.19,0.89–1.19,10
Philadelphia,PA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",3.23,3.01,3.46,3.01–3.46,0.32,0.28,0.36,0.28–0.36,11
Durham,NC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",3.14,2.48,3.8,2.48–3.8,0.28,0.19,0.36,0.19–0.36,12
Jersey City,NJ,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",3.06,2.68,3.44,2.68–3.44,0.35,0.23,0.48,0.23–0.48,13
Spokane,WA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",2.98,2.07,3.88,2.07–3.88,0.15,0.1,0.2,0.1–0.2,14
Washington,DC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",2.88,2.64,3.13,2.64–3.13,0.8,0.69,0.92,0.69–0.92,15
Austin,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",2.88,2.76,3,2.76–3,0.84,0.77,0.91,0.77–0.91,16
Louisville,KY,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",2.82,2.32,3.33,2.32–3.33,0.71,0.5,0.91,0.5–0.91,17
Houston,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Urban core (25,000/sq. mi.)","$50,000",2.69,2.57,2.82,2.57–2.82,0.72,0.65,0.79,0.65–0.79,18
