City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Houston,TX,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.75,2.69,2.81,2.69–2.81,0.66,0.62,0.7,0.62–0.7,14
Sacramento,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.74,2.51,2.98,2.51–2.98,0.93,0.79,1.07,0.79–1.07,15
Portland,OR,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.7,2.52,2.89,2.52–2.89,0.92,0.83,1.02,0.83–1.02,16
Austin,TX,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.7,2.62,2.78,2.62–2.78,0.78,0.73,0.82,0.73–0.82,17
Washington,DC,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.7,2.36,3.03,2.36–3.03,0.76,0.59,0.92,0.59–0.92,18
Nashville,TN,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.66,2.38,2.93,2.38–2.93,0.62,0.46,0.78,0.46–0.78,19
Boulder,CO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.64,2.41,2.87,2.41–2.87,0.74,0.57,0.9,0.57–0.9,20
Tulsa,OK,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.64,2.22,3.05,2.22–3.05,0.87,0.57,1.17,0.57–1.17,21
San Diego,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.61,2.43,2.79,2.43–2.79,0.76,0.68,0.84,0.68–0.84,22
Colorado Springs,CO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.59,2.41,2.76,2.41–2.76,0.66,0.58,0.74,0.58–0.74,23
Phoenix,AZ,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.44,2.29,2.59,2.29–2.59,0.66,0.58,0.74,0.58–0.74,24
Denver,CO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.42,2.32,2.53,2.32–2.53,0.57,0.51,0.62,0.51–0.62,25
Orlando,FL,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.32,2.13,2.51,2.13–2.51,0.7,0.6,0.79,0.6–0.79,26
Cincinnati,OH,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.3,2.02,2.58,2.02–2.58,0.44,0.31,0.57,0.31–0.57,27
Cleveland,OH,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.25,1.91,2.58,1.91–2.58,0.61,0.46,0.77,0.46–0.77,28
Atlanta,GA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.11,1.9,2.31,1.9–2.31,0.67,0.53,0.8,0.53–0.8,29
Anaheim,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.09,1.85,2.33,1.85–2.33,0.95,0.72,1.18,0.72–1.18,30
Kansas City,MO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.08,1.92,2.25,1.92–2.25,0.21,0.15,0.27,0.15–0.27,31
Boise,ID,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.06,1.78,2.35,1.78–2.35,0.54,0.41,0.67,0.41–0.67,32
Tampa,FL,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.02,1.75,2.29,1.75–2.29,0.48,0.39,0.58,0.39–0.58,33
Louisville,KY,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",2.01,1.84,2.18,1.84–2.18,0.5,0.43,0.57,0.43–0.57,34
St. Paul,MN,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",1.99,1.22,2.75,1.22–2.75,0.31,0.17,0.45,0.17–0.45,35
Fort Worth,TX,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",1.94,1.88,2.01,1.88–2.01,0.34,0.3,0.38,0.3–0.38,36
Jacksonville,FL,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",1.94,1.81,2.07,1.81–2.07,0.38,0.34,0.43,0.34–0.43,37
Columbus,OH,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",1.92,1.84,2,1.84–2,0.32,0.3,0.34,0.3–0.34,38
Indianapolis,IN,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",1.87,1.72,2.03,1.72–2.03,0.55,0.46,0.65,0.46–0.65,39
Sioux Falls,SD,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",1.83,1.6,2.06,1.6–2.06,0.26,0.2,0.33,0.2–0.33,40
Reno,NV,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",1.69,1.6,1.79,1.6–1.79,0.16,0.13,0.2,0.13–0.2,41
Grand Rapids,MI,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",1.66,1.53,1.78,1.53–1.78,0.31,0.24,0.37,0.24–0.37,42
Raleigh,NC,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"City neighborhood (4,000/sq. mi.)",1.6,1.48,1.72,1.48–1.72,0.3,0.23,0.36,0.23–0.36,43
Miami,FL,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",5.43,4.84,6.01,4.84–6.01,2.04,1.66,2.41,1.66–2.41,1
New York,NY,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",4.87,4.71,5.02,4.71–5.02,1.35,1.26,1.43,1.26–1.43,2
San Francisco,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",4.74,4.43,5.06,4.43–5.06,1.53,1.34,1.72,1.34–1.72,3
Los Angeles,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",4.42,4.3,4.54,4.3–4.54,1.44,1.38,1.5,1.38–1.5,4
Boston,MA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",3.96,3.71,4.21,3.71–4.21,1.78,1.6,1.97,1.6–1.97,5
Oakland,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",3.82,3.45,4.19,3.45–4.19,0.73,0.61,0.84,0.61–0.84,6
Seattle,WA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",3.29,3.14,3.43,3.14–3.43,1.04,0.98,1.1,0.98–1.1,7
Honolulu,HI,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",3,2.65,3.36,2.65–3.36,1.41,1.22,1.61,1.22–1.61,8
Philadelphia,PA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",3,2.79,3.21,2.79–3.21,0.31,0.27,0.34,0.27–0.34,9
Spokane,WA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.94,2.25,3.64,2.25–3.64,0.19,0.13,0.26,0.13–0.26,10
Durham,NC,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.88,2.42,3.35,2.42–3.35,0.27,0.21,0.34,0.21–0.34,11
Houston,TX,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.86,2.79,2.93,2.79–2.93,0.76,0.71,0.81,0.71–0.81,12
Jersey City,NJ,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.86,2.46,3.25,2.46–3.25,0.34,0.19,0.49,0.19–0.49,13
Austin,TX,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.77,2.66,2.89,2.66–2.89,0.77,0.71,0.84,0.71–0.84,14
Washington,DC,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.72,2.5,2.95,2.5–2.95,0.76,0.65,0.87,0.65–0.87,15
Boulder,CO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.72,2.39,3.05,2.39–3.05,0.72,0.54,0.9,0.54–0.9,16
Sacramento,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.7,2.47,2.94,2.47–2.94,0.9,0.76,1.04,0.76–1.04,17
San Diego,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.69,2.5,2.87,2.5–2.87,0.83,0.76,0.91,0.76–0.91,18
Nashville,TN,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.63,2.25,3.01,2.25–3.01,0.55,0.35,0.75,0.35–0.75,19
Portland,OR,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.63,2.44,2.82,2.44–2.82,0.91,0.81,1.01,0.81–1.01,20
Colorado Springs,CO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.61,2.41,2.8,2.41–2.8,0.67,0.58,0.76,0.58–0.76,21
Cincinnati,OH,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.5,2.14,2.87,2.14–2.87,0.55,0.37,0.72,0.37–0.72,22
Denver,CO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.42,2.31,2.53,2.31–2.53,0.58,0.53,0.64,0.53–0.64,23
Phoenix,AZ,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.36,2.17,2.54,2.17–2.54,0.62,0.52,0.71,0.52–0.71,24
Cleveland,OH,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.26,1.87,2.65,1.87–2.65,0.65,0.48,0.83,0.48–0.83,25
Louisville,KY,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.23,1.93,2.53,1.93–2.53,0.53,0.42,0.65,0.42–0.65,26
Jacksonville,FL,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.12,1.95,2.29,1.95–2.29,0.43,0.36,0.49,0.36–0.49,27
Kansas City,MO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.08,1.83,2.32,1.83–2.32,0.18,0.11,0.25,0.11–0.25,28
Orlando,FL,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.06,1.87,2.24,1.87–2.24,0.56,0.47,0.65,0.47–0.65,29
St. Paul,MN,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.05,1.24,2.86,1.24–2.86,0.24,0.11,0.36,0.11–0.36,30
Atlanta,GA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.04,1.85,2.24,1.85–2.24,0.67,0.54,0.81,0.54–0.81,31
Anaheim,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",2.01,1.73,2.29,1.73–2.29,0.74,0.53,0.96,0.53–0.96,32
Boise,ID,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",1.96,1.66,2.26,1.66–2.26,0.55,0.39,0.71,0.39–0.71,33
Fort Worth,TX,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",1.95,1.85,2.05,1.85–2.05,0.34,0.29,0.39,0.29–0.39,34
Tampa,FL,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",1.9,1.43,2.37,1.43–2.37,0.5,0.32,0.68,0.32–0.68,35
Columbus,OH,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",1.83,1.73,1.94,1.73–1.94,0.29,0.26,0.31,0.26–0.31,36
Indianapolis,IN,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",1.81,1.56,2.06,1.56–2.06,0.47,0.35,0.6,0.35–0.6,37
Sioux Falls,SD,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",1.8,1.55,2.04,1.55–2.04,0.24,0.17,0.31,0.17–0.31,38
Reno,NV,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",1.64,1.53,1.75,1.53–1.75,0.13,0.1,0.17,0.1–0.17,39
Raleigh,NC,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",1.62,1.47,1.77,1.47–1.77,0.31,0.23,0.38,0.23–0.38,40
Grand Rapids,MI,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Dense city neighborhood (10,000/sq. mi.)",1.54,1.32,1.76,1.32–1.76,0.31,0.18,0.43,0.18–0.43,41
Miami,FL,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",5.87,5.02,6.72,5.02–6.72,2.13,1.61,2.66,1.61–2.66,1
New York,NY,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",4.82,4.7,4.95,4.7–4.95,1.29,1.23,1.35,1.23–1.35,2
San Francisco,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",4.58,4.27,4.89,4.27–4.89,1.58,1.4,1.76,1.4–1.76,3
Los Angeles,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",4.5,4.36,4.63,4.36–4.63,1.37,1.31,1.44,1.31–1.44,4
Boston,MA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",4.21,3.95,4.46,3.95–4.46,1.95,1.76,2.14,1.76–2.14,5
Oakland,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",3.35,2.82,3.87,2.82–3.87,0.6,0.43,0.78,0.43–0.78,6
Seattle,WA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",3.23,3.08,3.39,3.08–3.39,1.04,0.98,1.11,0.98–1.11,7
Spokane,WA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",3.1,2.27,3.93,2.27–3.93,0.15,0.09,0.2,0.09–0.2,8
Philadelphia,PA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",3,2.79,3.22,2.79–3.22,0.3,0.26,0.33,0.26–0.33,9
Houston,TX,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.98,2.87,3.09,2.87–3.09,0.87,0.79,0.95,0.79–0.95,10
Jersey City,NJ,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.97,2.73,3.2,2.73–3.2,0.37,0.27,0.46,0.27–0.46,11
Durham,NC,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.9,2.25,3.55,2.25–3.55,0.22,0.14,0.3,0.14–0.3,12
Honolulu,HI,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.88,2.47,3.29,2.47–3.29,1.5,1.25,1.76,1.25–1.76,13
Austin,TX,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.85,2.69,3.01,2.69–3.01,0.77,0.69,0.85,0.69–0.85,14
Boulder,CO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.8,2.34,3.25,2.34–3.25,0.7,0.5,0.91,0.5–0.91,15
San Diego,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.77,2.54,2.99,2.54–2.99,0.91,0.81,1.02,0.81–1.02,16
Washington,DC,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.75,2.54,2.96,2.54–2.96,0.76,0.67,0.85,0.67–0.85,17
Cincinnati,OH,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.73,2.18,3.28,2.18–3.28,0.68,0.4,0.95,0.4–0.95,18
Sacramento,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.66,2.42,2.91,2.42–2.91,0.87,0.72,1.02,0.72–1.02,19
Colorado Springs,CO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.63,2.39,2.86,2.39–2.86,0.68,0.57,0.79,0.57–0.79,20
Nashville,TN,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.6,2.11,3.09,2.11–3.09,0.49,0.26,0.72,0.26–0.72,21
Portland,OR,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.56,2.34,2.77,2.34–2.77,0.9,0.79,1,0.79–1,22
Louisville,KY,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.47,2.01,2.93,2.01–2.93,0.57,0.4,0.73,0.4–0.73,23
Denver,CO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.42,2.3,2.54,2.3–2.54,0.6,0.53,0.67,0.53–0.67,24
Jacksonville,FL,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.32,2.09,2.55,2.09–2.55,0.48,0.39,0.57,0.39–0.57,25
Phoenix,AZ,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.28,2.05,2.51,2.05–2.51,0.57,0.47,0.68,0.47–0.68,26
Cleveland,OH,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.26,1.7,2.83,1.7–2.83,0.7,0.43,0.96,0.43–0.96,27
St. Paul,MN,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.12,1.08,3.15,1.08–3.15,0.18,0.04,0.32,0.04–0.32,28
Kansas City,MO,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",2.07,1.73,2.41,1.73–2.41,0.15,0.08,0.23,0.08–0.23,29
Atlanta,GA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.98,1.75,2.21,1.75–2.21,0.67,0.5,0.85,0.5–0.85,30
Fort Worth,TX,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.96,1.82,2.1,1.82–2.1,0.34,0.27,0.41,0.27–0.41,31
Anaheim,CA,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.93,1.52,2.34,1.52–2.34,0.58,0.34,0.82,0.34–0.82,32
Boise,ID,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.87,1.55,2.19,1.55–2.19,0.57,0.37,0.76,0.37–0.76,33
Orlando,FL,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.82,1.63,2.02,1.63–2.02,0.44,0.36,0.53,0.36–0.53,34
Sioux Falls,SD,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.76,1.47,2.05,1.47–2.05,0.22,0.14,0.29,0.14–0.29,35
Indianapolis,IN,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.76,1.4,2.11,1.4–2.11,0.41,0.26,0.56,0.26–0.56,36
Columbus,OH,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.75,1.61,1.9,1.61–1.9,0.26,0.23,0.29,0.23–0.29,37
Raleigh,NC,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.64,1.44,1.84,1.44–1.84,0.32,0.23,0.41,0.23–0.41,38
Reno,NV,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.58,1.45,1.72,1.45–1.72,0.11,0.08,0.14,0.08–0.14,39
Grand Rapids,MI,Multifamily,"20 units, 1,500 sq. ft. each",20,1500,"Urban core (25,000/sq. mi.)",1.43,1.12,1.75,1.12–1.75,0.31,0.12,0.49,0.12–0.49,40
Oakland,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",5.74,4.79,6.7,4.79–6.7,1.64,0.9,2.39,0.9–2.39,1
San Francisco,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",5.23,4.59,5.87,4.59–5.87,1.18,0.89,1.48,0.89–1.48,2
New York,NY,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",5.08,4.78,5.38,4.78–5.38,1.5,1.31,1.69,1.31–1.69,3
Baton Rouge,LA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",4.22,2.69,5.74,2.69–5.74,0.78,0.44,1.12,0.44–1.12,4
Los Angeles,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",4.09,3.83,4.36,3.83–4.36,1.72,1.55,1.89,1.55–1.89,5
Miami,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",4.08,2.91,5.26,2.91–5.26,1.65,0.83,2.47,0.83–2.47,6
Honolulu,HI,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",3.99,3.56,4.42,3.56–4.42,1.42,1.26,1.59,1.26–1.59,7
Boston,MA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",3.77,3.19,4.34,3.19–4.34,1.57,1.18,1.95,1.18–1.95,8
Tulsa,OK,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",3.76,2.99,4.53,2.99–4.53,0.63,0.47,0.79,0.47–0.79,9
Seattle,WA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",3.64,3.19,4.08,3.19–4.08,1.07,0.89,1.25,0.89–1.25,10
Philadelphia,PA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",3.3,2.73,3.86,2.73–3.86,0.33,0.23,0.44,0.23–0.44,11
Sacramento,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",3.25,2.84,3.67,2.84–3.67,1.01,0.79,1.22,0.79–1.22,12
Orlando,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.88,2.63,3.12,2.63–3.12,0.85,0.71,0.99,0.71–0.99,13
Durham,NC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.83,2.52,3.13,2.52–3.13,0.57,0.42,0.71,0.42–0.71,14
Washington,DC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.78,2.21,3.35,2.21–3.35,0.79,0.53,1.05,0.53–1.05,15
San Diego,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.7,2.47,2.93,2.47–2.93,0.69,0.59,0.79,0.59–0.79,16
Denver,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.7,2.55,2.84,2.55–2.84,0.6,0.51,0.69,0.51–0.69,17
Austin,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.63,2.53,2.73,2.53–2.73,0.85,0.79,0.91,0.79–0.91,18
Portland,OR,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.57,2.44,2.7,2.44–2.7,0.92,0.85,0.98,0.85–0.98,19
Charleston,SC,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.53,2.31,2.75,2.31–2.75,0.27,0.18,0.35,0.18–0.35,20
Houston,TX,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.47,2.37,2.57,2.37–2.57,0.49,0.44,0.54,0.44–0.54,21
Tampa,FL,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.47,1.57,3.37,1.57–3.37,0.49,0.25,0.73,0.25–0.73,22
Nashville,TN,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.44,2.24,2.65,2.24–2.65,0.76,0.64,0.88,0.64–0.88,23
Spokane,WA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.44,1.25,3.63,1.25–3.63,0.34,0.22,0.46,0.22–0.46,24
Phoenix,AZ,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.37,2.23,2.52,2.23–2.52,0.62,0.55,0.69,0.55–0.69,25
Anaheim,CA,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.34,1.83,2.85,1.83–2.85,1.15,0.65,1.65,0.65–1.65,26
Boulder,CO,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.3,2.05,2.54,2.05–2.54,0.67,0.41,0.94,0.41–0.94,27
Sioux Falls,SD,Multifamily,"50 units, 700 sq. ft. each",50,700,"Low-density suburb (1,000/sq. mi.)",2.14,1.84,2.45,1.84–2.45,0.27,0.21,0.32,0.21–0.32,28
